ID_subregion,year,p3501-produkt-krajowy-brutto-na-1-mieszkańca
042214000000,2005,18246
042214000000,2006,19879
042214000000,2007,22070
042214000000,2008,24303
042214000000,2009,25806
042214000000,2010,26639
042214000000,2011,28236
042214000000,2012,29885
042214000000,2013,30995
042214000000,2014,32608
042214000000,2015,34445
042214000000,2016,35307
042214000000,2017,37852
042214000000,2018,40284
042214000000,2019,43273
042214100000,2000,15065
042214100000,2001,16483
042214100000,2002,16604
042214100000,2003,17597
042214100000,2004,18549
042214100000,2005,20243
042214100000,2006,22082
042214100000,2007,24512
042214100000,2008,26922
042214100000,2009,28689
042214100000,2010,29075
042214100000,2011,30859
042214100000,2012,32082
042214100000,2013,32201
042214100000,2014,33809
042214100000,2015,35179
042214100000,2016,35702
042214100000,2017,39184
042214100000,2018,41732
042214100000,2019,44121
042214200000,2000,15618
042214200000,2001,16203
042214200000,2002,18314
042214200000,2003,19508
042214200000,2004,20476
042214200000,2005,20487
042214200000,2006,22522
042214200000,2007,26271
042214200000,2008,27181
042214200000,2009,28494
042214200000,2010,29733
042214200000,2011,31880
042214200000,2012,33056
042214200000,2013,33523
042214200000,2014,35558
042214200000,2015,37094
042214200000,2016,38694
042214200000,2017,39761
042214200000,2018,40845
042214200000,2019,45119
042214300000,2000,28123
042214300000,2001,28587
042214300000,2002,30552
042214300000,2003,30861
042214300000,2004,34950
042214300000,2005,37894
042214300000,2006,40480
042214300000,2007,44252
042214300000,2008,45513
042214300000,2009,50574
042214300000,2010,52844
042214300000,2011,58288
042214300000,2012,62415
042214300000,2013,61491
042214300000,2014,61481
042214300000,2015,66645
042214300000,2016,70319
042214300000,2017,75198
042214300000,2018,82362
042214300000,2019,89995
042217200000,2000,13593
042217200000,2001,14624
042217200000,2002,15104
042217200000,2003,15824
042217200000,2004,16746
042217200000,2005,17814
042217200000,2006,19213
042217200000,2007,21858
042217200000,2008,22995
042217200000,2009,24210
042217200000,2010,24891
042217200000,2011,26616
042217200000,2012,27270
042217200000,2013,27288
042217200000,2014,28705
042217200000,2015,29837
042217200000,2016,31798
042217200000,2017,33550
042217200000,2018,35809
042217200000,2019,37828
042815400000,2000,14162
042815400000,2001,14584
042815400000,2002,15298
042815400000,2003,16081
042815400000,2004,17523
042815400000,2005,18378
042815400000,2006,19643
042815400000,2007,21963
042815400000,2008,23878
042815400000,2009,24960
042815400000,2010,26081
042815400000,2011,27799
042815400000,2012,28717
042815400000,2013,28646
042815400000,2014,30054
042815400000,2015,31703
042815400000,2016,33091
042815400000,2017,35134
042815400000,2018,36913
042815400000,2019,39122
042815500000,2000,12610
042815500000,2001,13084
042815500000,2002,12788
042815500000,2003,13619
042815500000,2004,15052
042815500000,2005,16047
042815500000,2006,17796
042815500000,2007,19380
042815500000,2008,21032
042815500000,2009,21324
042815500000,2010,23019
042815500000,2011,24324
042815500000,2012,24993
042815500000,2013,25057
042815500000,2014,26081
042815500000,2015,26918
042815500000,2016,28291
042815500000,2017,29859
042815500000,2018,31040
042815500000,2019,33026
042815600000,2000,17235
042815600000,2001,17385
042815600000,2002,18132
042815600000,2003,19429
042815600000,2004,20929
042815600000,2005,22155
042815600000,2006,23441
042815600000,2007,25548
042815600000,2008,27471
042815600000,2009,29033
042815600000,2010,30424
042815600000,2011,32986
042815600000,2012,33987
042815600000,2013,35158
042815600000,2014,36345
042815600000,2015,37695
042815600000,2016,39048
042815600000,2017,40520
042815600000,2018,42424
042815600000,2019,46090
051011500000,2000,15444
051011500000,2001,16716
051011500000,2002,17702
051011500000,2003,18884
051011500000,2004,20363
051011500000,2005,22103
051011500000,2006,24251
051011500000,2007,27167
051011500000,2008,29184
051011500000,2009,29943
051011500000,2010,31198
051011500000,2011,33313
051011500000,2012,34785
051011500000,2013,35219
051011500000,2014,37226
051011500000,2015,40110
051011500000,2016,41068
051011500000,2017,42879
051011500000,2018,45623
051011500000,2019,49538
051011600000,2000,22167
051011600000,2001,23476
051011600000,2002,24671
051011600000,2003,26532
051011600000,2004,28559
051011600000,2005,29928
051011600000,2006,32526
051011600000,2007,36520
051011600000,2008,40542
051011600000,2009,43814
051011600000,2010,46910
051011600000,2011,49540
051011600000,2012,51496
051011600000,2013,52889
051011600000,2014,55549
051011600000,2015,58470
051011600000,2016,59459
051011600000,2017,64083
051011600000,2018,70846
051011600000,2019,78008
051011700000,2000,16641
051011700000,2001,17831
051011700000,2002,18397
051011700000,2003,19681
051011700000,2004,21917
051011700000,2005,23814
051011700000,2006,25088
051011700000,2007,27255
051011700000,2008,29868
051011700000,2009,32987
051011700000,2010,35436
051011700000,2011,39147
051011700000,2012,41293
051011700000,2013,41295
051011700000,2014,42611
051011700000,2015,44824
051011700000,2016,46506
051011700000,2017,48765
051011700000,2018,51557
051011700000,2019,55475
051011800000,2000,14284
051011800000,2001,14854
051011800000,2002,15852
051011800000,2003,16380
051011800000,2004,18060
051011800000,2005,19294
051011800000,2006,21086
051011800000,2007,23372
051011800000,2008,24778
051011800000,2009,23546
051011800000,2010,24538
051011800000,2011,27150
051011800000,2012,28499
051011800000,2013,29010
