ID_powiatu,year,p3350-stopień-wykorzystania-miejsc-noclegowych
020811301000,2011,26.9
020811301000,2012,24.6
020811301000,2013,25.0
020811301000,2014,26.6
020811301000,2015,31.3
020811301000,2016,25.6
020811301000,2017,23.2
020811301000,2018,21.5
020811301000,2019,20.0
020811301000,2020,14.6
020811303000,2010,21.4
020811303000,2011,22.6
020811303000,2012,18.3
020811303000,2013,16.7
020811303000,2014,19.5
020811303000,2015,22.9
020811303000,2016,20.1
020811303000,2017,18.7
020811303000,2018,18.4
020811303000,2019,20.2
020811303000,2020,13.7
020811305000,2010,28.7
020811305000,2011,30.7
020811305000,2012,28.2
020811305000,2013,25.4
020811305000,2014,22.0
020811305000,2015,23.3
020811305000,2016,26.9
020811305000,2017,31.0
020811305000,2018,38.5
020811305000,2019,40.7
020811305000,2020,28.1
020811306000,2010,35.8
020811306000,2011,34.5
020811306000,2012,34.7
020811306000,2013,31.9
020811306000,2014,36.1
020811306000,2015,36.0
020811306000,2016,41.2
020811306000,2017,34.7
020811306000,2018,39.9
020811306000,2019,34.7
020811306000,2020,29.1
020811307000,2010,20.7
020811307000,2011,23.1
020811307000,2012,19.2
020811307000,2013,18.9
020811307000,2014,21.0
020811307000,2015,22.3
020811307000,2016,24.2
020811307000,2017,26.8
020811307000,2018,22.1
020811307000,2019,23.0
020811307000,2020,16.9
020811361000,2010,32.0
020811361000,2011,34.6
020811361000,2012,37.5
020811361000,2013,33.6
020811361000,2014,33.9
020811361000,2015,38.0
020811361000,2016,41.8
020811361000,2017,45.8
020811361000,2018,39.8
020811361000,2019,37.0
020811361000,2020,26.4
020811402000,2010,30.0
020811402000,2011,35.6
020811402000,2012,34.5
020811402000,2013,24.8
020811402000,2014,28.9
020811402000,2015,25.6
020811402000,2016,30.5
020811402000,2017,29.7
020811402000,2018,37.1
020811402000,2019,36.5
020811402000,2020,27.5
020811404000,2010,25.3
020811404000,2011,21.9
020811404000,2012,16.4
020811404000,2013,26.2
020811404000,2014,19.1
020811404000,2015,17.4
020811404000,2016,24.3
020811404000,2017,21.9
020811404000,2018,16.8
020811404000,2019,15.4
020811404000,2020,12.0
020811408000,2010,30.6
020811408000,2011,29.4
020811408000,2012,30.7
020811408000,2013,30.1
020811408000,2014,31.3
020811408000,2015,31.8
