ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-ogółem
012414911000,2009,3775
012414911000,2010,3832
012414911000,2011,3792
012414911000,2012,3364
012414911000,2013,2583
012414911000,2014,2590
012414911000,2015,3433
012414911000,2016,4402
012414911000,2017,4661
012414911000,2018,5600
012414911000,2019,5605
012414911000,2020,1970
012414912000,2005,8
012414912000,2006,8
012414912000,2007,0
012414912000,2008,26
012414912000,2009,0
012414912000,2010,0
012414912000,2011,0
012414912000,2012,16
012414912000,2013,28
012414912000,2014,40
012414912000,2015,76
012414912000,2016,77
012414912000,2017,77
012414912000,2018,112
012414912000,2019,186
012414912000,2020,42
012414915000,2005,975
012414915000,2006,1077
012414915000,2007,1261
012414915000,2008,1588
012414915000,2009,1141
012414915000,2010,1477
012414915000,2011,1362
012414915000,2012,2077
012414915000,2013,2119
012414915000,2014,3331
012414915000,2015,3352
012414915000,2016,3367
012414915000,2017,3408
012414915000,2018,3412
012414915000,2019,3843
012414915000,2020,1128
012414967000,2005,1248
012414967000,2006,708
012414967000,2007,998
012414967000,2008,715
012414967000,2009,715
012414967000,2010,572
012414967000,2011,492
012414967000,2012,307
012414967000,2013,358
012414967000,2014,358
012414967000,2015,226
012414967000,2016,631
012414967000,2017,1521
012414967000,2018,1983
012414967000,2019,1724
012414967000,2020,410
012414973000,2005,3527
012414973000,2006,4849
012414973000,2007,4598
012414973000,2008,4058
012414973000,2009,3895
012414973000,2010,4176
012414973000,2011,3295
012414973000,2012,4990
012414973000,2013,3833
012414973000,2014,3617
012414973000,2015,4182
012414973000,2016,4055
012414973000,2017,4094
012414973000,2018,3717
012414973000,2019,3771
012414973000,2020,893
012414979000,2005,1142
012414979000,2006,800
012414979000,2007,881
012414979000,2008,853
012414979000,2009,953
012414979000,2010,1168
012414979000,2011,1163
012414979000,2012,1574
012414979000,2013,1430
012414979000,2014,1354
012414979000,2015,1592
012414979000,2016,2292
012414979000,2017,2534
012414979000,2018,2681
012414979000,2019,2711
012414979000,2020,927
012415001000,2005,3353
012415001000,2006,3657
012415001000,2007,4681
012415001000,2008,4372
012415001000,2009,5555
012415001000,2010,8054
012415001000,2011,12962
012415001000,2012,13877
012415001000,2013,13926
012415001000,2014,15108
012415001000,2015,20159
012415001000,2016,21989
012415001000,2017,22952
