ID_powiatu,year,p2013-hotele-kategorii-s
062013912000,1996,0
062013912000,1997,0
062013912000,1998,0
062013912000,1999,0
062013912000,2000,0
062013912000,2001,0
062013912000,2002,0
062013912000,2003,0
062013912000,2004,0
062013912000,2005,0
062013912000,2006,0
062013912000,2007,0
062013912000,2008,0
062013912000,2009,0
062013912000,2010,0
062013912000,2011,0
062013912000,2012,0
062013912000,2013,0
062013912000,2014,0
062013912000,2015,0
062013912000,2016,0
062013912000,2017,0
062013912000,2018,0
062013912000,2019,0
062013912000,2020,0
062013963000,1995,0
062013963000,1996,0
062013963000,1997,0
062013963000,1998,0
062013963000,1999,0
062013963000,2000,0
062013963000,2001,0
062013963000,2002,0
062013963000,2003,0
062013963000,2004,0
062013963000,2005,0
062013963000,2006,0
062013963000,2007,0
