ID_powiatu,year,p2013-hotele-4-i-5-gwiazdkowemotelepensjonaty-w-ogólnej-liczbie-hotelimotelipensjonatów-ogółem
012414912000,2018,0.0
012414912000,2019,0.0
012414912000,2020,0.0
012414915000,2002,0.0
012414915000,2003,0.0
012414915000,2004,0.0
012414915000,2005,0.0
012414915000,2006,0.0
012414915000,2007,0.0
012414915000,2008,0.0
012414915000,2009,0.0
012414915000,2010,100.0
012414915000,2011,100.0
012414915000,2012,100.0
012414915000,2013,50.0
012414915000,2014,50.0
012414915000,2015,33.33
012414915000,2016,33.33
012414915000,2017,33.33
012414915000,2018,33.33
012414915000,2019,33.33
012414915000,2020,33.33
012414967000,2002,0.0
012414967000,2003,0.0
012414967000,2004,0.0
012414967000,2005,0.0
012414967000,2006,0.0
012414967000,2007,0.0
012414967000,2008,0.0
012414967000,2009,0.0
012414967000,2010,0.0
012414967000,2011,0.0
012414967000,2012,0.0
012414967000,2013,0.0
012414967000,2014,0.0
012414967000,2015,0.0
012414967000,2016,0.0
012414967000,2017,0.0
012414967000,2018,0.0
012414967000,2019,0.0
012414967000,2020,0.0
012414973000,2002,0.0
012414973000,2003,0.0
012414973000,2004,0.0
012414973000,2005,0.0
012414973000,2006,0.0
012414973000,2007,0.0
012414973000,2008,0.0
012414973000,2009,0.0
012414973000,2010,0.0
012414973000,2011,0.0
012414973000,2012,0.0
012414973000,2013,0.0
012414973000,2014,0.0
012414973000,2015,0.0
012414973000,2016,0.0
012414973000,2017,0.0
012414973000,2018,0.0
012414973000,2019,0.0
012414973000,2020,0.0
012414979000,2002,0.0
012414979000,2003,0.0
012414979000,2004,0.0
012414979000,2005,0.0
012414979000,2006,0.0
012414979000,2007,0.0
012414979000,2008,0.0
012414979000,2009,0.0
012414979000,2010,0.0
012414979000,2011,0.0
012414979000,2012,0.0
012414979000,2013,0.0
012414979000,2014,0.0
012414979000,2015,0.0
012414979000,2016,0.0
012414979000,2017,0.0
012414979000,2018,0.0
012414979000,2019,0.0
012414979000,2020,0.0
012415001000,2002,0.0
012415001000,2003,0.0
012415001000,2004,0.0
012415001000,2005,0.0
012415001000,2006,0.0
012415001000,2007,0.0
012415001000,2008,0.0
012415001000,2009,0.0
012415001000,2010,0.0
012415001000,2011,14.29
012415001000,2012,14.29
012415001000,2013,22.22
012415001000,2014,22.22
012415001000,2015,20.0
012415001000,2016,22.22
012415001000,2017,22.22
012415001000,2018,18.18
012415001000,2019,20.0
012415001000,2020,25.0
012415016000,2002,0.0
012415016000,2003,0.0
012415016000,2004,0.0
012415016000,2005,0.0
012415016000,2006,0.0
012415016000,2007,0.0
012415016000,2008,0.0
012415016000,2009,40.0
012415016000,2010,40.0
012415016000,2011,33.33
012415016000,2012,20.0
012415016000,2013,42.86
012415016000,2014,42.86
012415016000,2015,37.5
012415016000,2016,37.5
012415016000,2017,37.5
012415016000,2018,37.5
012415016000,2019,37.5
012415016000,2020,37.5
012415065000,2002,0.0
012415065000,2003,0.0
012415065000,2004,0.0
012415065000,2005,0.0
012415065000,2006,0.0
012415065000,2007,0.0
012415065000,2008,0.0
