ID_powiatu,year,p2596-zieleńce-obiekty
020811402000,2011,49
020811402000,2012,49
020811402000,2013,49
020811402000,2014,49
020811402000,2015,49
020811402000,2016,49
020811402000,2017,49
020811402000,2018,49
020811402000,2019,49
020811402000,2020,49
020811404000,2004,78
020811404000,2005,70
020811404000,2006,67
020811404000,2007,67
020811404000,2008,67
020811404000,2009,67
020811404000,2010,67
020811404000,2011,66
020811404000,2012,66
020811404000,2013,66
020811404000,2014,66
020811404000,2015,66
020811404000,2016,66
020811404000,2017,67
020811404000,2018,67
020811404000,2019,69
020811404000,2020,76
020811408000,2004,64
020811408000,2005,46
020811408000,2006,46
020811408000,2007,46
020811408000,2008,46
020811408000,2009,46
020811408000,2010,46
020811408000,2011,46
020811408000,2012,46
020811408000,2013,46
020811408000,2014,46
020811408000,2015,46
020811408000,2016,46
020811408000,2017,46
020811408000,2018,46
020811408000,2019,46
020811408000,2020,46
020811409000,2004,38
020811409000,2005,38
020811409000,2006,42
020811409000,2007,43
020811409000,2008,44
020811409000,2009,44
020811409000,2010,60
020811409000,2011,60
020811409000,2012,64
020811409000,2013,65
020811409000,2014,66
020811409000,2015,69
020811409000,2016,75
020811409000,2017,75
020811409000,2018,75
020811409000,2019,75
020811409000,2020,75
020811410000,2004,76
020811410000,2005,66
020811410000,2006,66
020811410000,2007,66
020811410000,2008,66
020811410000,2009,66
020811410000,2010,66
020811410000,2011,75
020811410000,2012,75
020811410000,2013,75
020811410000,2014,75
020811410000,2015,75
020811410000,2016,75
020811410000,2017,75
020811410000,2018,75
020811410000,2019,75
020811410000,2020,75
020811411000,2004,41
020811411000,2005,43
020811411000,2006,44
020811411000,2007,50
020811411000,2008,63
020811411000,2009,63
020811411000,2010,65
020811411000,2011,65
020811411000,2012,65
020811411000,2013,67
020811411000,2014,67
020811411000,2015,67
020811411000,2016,67
020811411000,2017,67
020811411000,2018,67
020811411000,2019,67
020811411000,2020,67
020811412000,2004,40
020811412000,2005,40
020811412000,2006,40
020811412000,2007,46
