ID_powiatu,year,p2596-parki-spacerowo-wypoczynkowe-obiekty
042815505000,2013,1
042815505000,2014,2
042815505000,2015,2
042815505000,2016,2
042815505000,2017,2
042815505000,2018,2
042815505000,2019,2
042815505000,2020,2
042815506000,2004,5
042815506000,2005,5
042815506000,2006,5
042815506000,2007,5
042815506000,2008,6
042815506000,2009,6
042815506000,2010,6
042815506000,2011,6
042815506000,2012,6
042815506000,2013,6
042815506000,2014,6
042815506000,2015,6
042815506000,2016,6
042815506000,2017,6
042815506000,2018,6
042815506000,2019,6
042815506000,2020,6
042815513000,2004,3
042815513000,2005,3
042815513000,2006,3
042815513000,2007,3
042815513000,2008,3
042815513000,2009,3
042815513000,2010,3
042815513000,2011,3
042815513000,2012,3
042815513000,2013,3
042815513000,2014,3
042815513000,2015,3
042815513000,2016,3
042815513000,2017,3
042815513000,2018,3
042815513000,2019,3
042815513000,2020,3
042815516000,2004,3
042815516000,2005,3
042815516000,2006,3
042815516000,2007,3
042815516000,2008,3
042815516000,2009,3
042815516000,2010,3
042815516000,2011,3
042815516000,2012,3
042815516000,2013,3
042815516000,2014,3
042815516000,2015,3
042815516000,2016,3
042815516000,2017,3
042815516000,2018,3
042815516000,2019,3
042815516000,2020,3
042815518000,2004,0
042815518000,2005,0
042815518000,2006,0
042815518000,2007,0
042815518000,2008,0
042815518000,2009,0
042815518000,2010,0
042815518000,2011,0
042815518000,2012,1
042815518000,2013,1
042815518000,2014,1
042815518000,2015,1
042815518000,2016,1
042815518000,2017,1
042815518000,2018,1
042815518000,2019,1
042815518000,2020,1
042815519000,2004,2
042815519000,2005,2
042815519000,2006,2
042815519000,2007,2
042815519000,2008,2
042815519000,2009,2
042815519000,2010,2
042815519000,2011,2
042815519000,2012,2
042815519000,2013,2
042815519000,2014,2
042815519000,2015,2
042815519000,2016,2
042815519000,2017,2
042815519000,2018,2
042815519000,2019,2
042815519000,2020,2
042815601000,2004,5
042815601000,2005,5
042815601000,2006,5
042815601000,2007,5
042815601000,2008,5
042815601000,2009,5
042815601000,2010,4
042815601000,2011,4
042815601000,2012,4
042815601000,2013,4
042815601000,2014,4
042815601000,2015,4
042815601000,2016,4
042815601000,2017,4
042815601000,2018,4
042815601000,2019,4
042815601000,2020,4
042815608000,2004,3
042815608000,2005,2
042815608000,2006,2
042815608000,2007,2
042815608000,2008,4
042815608000,2009,4
042815608000,2010,4
042815608000,2011,4
042815608000,2012,4
042815608000,2013,4
042815608000,2014,4
042815608000,2015,4
042815608000,2016,4
042815608000,2017,4
042815608000,2018,4
042815608000,2019,4
042815608000,2020,4
042815609000,2004,0
042815609000,2005,0
042815609000,2006,0
042815609000,2007,0
042815609000,2008,0
042815609000,2009,0
042815609000,2010,0
042815609000,2011,0
042815609000,2012,0
042815609000,2013,0
042815609000,2014,0
042815609000,2015,0
042815609000,2016,0
042815609000,2017,0
042815609000,2018,0
042815609000,2019,0
042815609000,2020,0
042815610000,2004,3
042815610000,2005,3
042815610000,2006,3
042815610000,2007,3
042815610000,2008,4
042815610000,2009,4
042815610000,2010,4
042815610000,2011,4
042815610000,2012,4
042815610000,2013,4
042815610000,2014,4
042815610000,2015,4
042815610000,2016,4
042815610000,2017,4
042815610000,2018,4
042815610000,2019,4
042815610000,2020,4
042815611000,2004,12
042815611000,2005,12
042815611000,2006,13
042815611000,2007,13
042815611000,2008,13
042815611000,2009,13
042815611000,2010,13
042815611000,2011,13
042815611000,2012,13
042815611000,2013,12
042815611000,2014,12
042815611000,2015,12
042815611000,2016,12
042815611000,2017,12
042815611000,2018,12
042815611000,2019,12
042815611000,2020,12
042815614000,2004,4
042815614000,2005,4
042815614000,2006,4
042815614000,2007,4
042815614000,2008,4
042815614000,2009,5
042815614000,2010,5
042815614000,2011,5
042815614000,2012,5
042815614000,2013,5
042815614000,2014,5
042815614000,2015,5
042815614000,2016,5
042815614000,2017,5
042815614000,2018,5
042815614000,2019,5
042815614000,2020,5
042815617000,2004,2
042815617000,2005,2
042815617000,2006,3
042815617000,2007,3
042815617000,2008,3
042815617000,2009,3
042815617000,2010,3
042815617000,2011,3
042815617000,2012,3
042815617000,2013,3
042815617000,2014,3
042815617000,2015,3
042815617000,2016,3
042815617000,2017,3
042815617000,2018,3
042815617000,2019,4
042815617000,2020,4
042815662000,2004,10
042815662000,2005,10
042815662000,2006,10
042815662000,2007,12
042815662000,2008,12
042815662000,2009,12
042815662000,2010,12
042815662000,2011,12
042815662000,2012,12
042815662000,2013,12
042815662000,2014,13
042815662000,2015,13
042815662000,2016,13
042815662000,2017,13
042815662000,2018,18
042815662000,2019,18
042815662000,2020,18
051011506000,2004,2
051011506000,2005,2
051011506000,2006,2
051011506000,2007,2
051011506000,2008,3
051011506000,2009,3
051011506000,2010,3
051011506000,2011,3
051011506000,2012,3
051011506000,2013,3
051011506000,2014,3
051011506000,2015,3
051011506000,2016,3
051011506000,2017,3
051011506000,2018,3
051011506000,2019,3
051011506000,2020,3
051011508000,2004,8
051011508000,2005,8
