ID_powiatu,year,p2596-zieleń-uliczna-powierzchnia
012414766000,2005,11.6
012414766000,2006,11.6
012414766000,2007,11.6
012414766000,2008,80.0
012414766000,2009,2.5
012414766000,2010,61.1
012414766000,2011,65.7
012414766000,2012,67.0
012414766000,2013,69.99
012414766000,2014,82.04
012414766000,2015,222.28
012414766000,2016,397.59
012414766000,2017,163.89
012414766000,2018,163.07
012414766000,2019,222.69
012414766000,2020,227.09
012414778000,2004,82.1
012414778000,2005,82.1
012414778000,2006,82.1
012414778000,2007,82.1
012414778000,2008,98.0
012414778000,2009,98.0
012414778000,2010,98.0
012414778000,2011,105.4
012414778000,2012,129.7
012414778000,2013,129.4
012414778000,2014,130.1
012414778000,2015,119.41
012414778000,2016,126.66
012414778000,2017,126.66
012414778000,2018,126.66
012414778000,2019,126.66
012414778000,2020,126.66
012414863000,2004,55.9
012414863000,2005,55.9
012414863000,2006,55.9
012414863000,2007,55.9
012414863000,2008,55.9
012414863000,2009,55.9
012414863000,2010,60.8
012414863000,2011,60.8
012414863000,2012,60.8
012414863000,2013,28.07
012414863000,2014,28.07
012414863000,2015,28.07
012414863000,2016,28.86
012414863000,2017,28.86
012414863000,2018,28.86
012414863000,2019,27.51
012414863000,2020,27.51
012414869000,2004,209.9
012414869000,2005,214.2
012414869000,2006,239.7
012414869000,2007,53.7
012414869000,2008,53.7
012414869000,2009,49.8
012414869000,2010,49.8
012414869000,2011,49.8
012414869000,2012,49.8
012414869000,2013,49.8
012414869000,2014,49.8
012414869000,2015,49.8
012414869000,2016,49.8
012414869000,2017,221.5
012414869000,2018,221.5
012414869000,2019,222.35
012414869000,2020,222.75
012414870000,2004,76.1
012414870000,2005,76.2
012414870000,2006,76.2
012414870000,2007,76.2
012414870000,2008,76.2
012414870000,2009,76.2
012414870000,2010,76.2
012414870000,2011,76.2
012414870000,2012,76.2
012414870000,2013,45.1
012414870000,2014,45.1
012414870000,2015,45.1
012414870000,2016,45.1
012414870000,2017,45.1
012414870000,2018,45.1
012414870000,2019,45.1
012414870000,2020,45.1
012414872000,2004,29.8
012414872000,2005,34.0
012414872000,2006,34.0
012414872000,2007,34.0
012414872000,2008,58.9
012414872000,2009,58.9
012414872000,2010,60.4
012414872000,2011,58.9
012414872000,2012,62.1
012414872000,2013,62.1
012414872000,2014,62.1
012414872000,2015,62.9
012414872000,2016,62.9
012414872000,2017,73.6
012414872000,2018,77.8
012414872000,2019,77.8
012414872000,2020,77.8
012414874000,2004,22.6
012414874000,2005,22.6
012414874000,2006,22.6
012414874000,2007,22.6
012414874000,2008,22.6
012414874000,2009,22.6
012414874000,2010,22.6
012414874000,2011,22.6
012414874000,2012,22.6
012414874000,2013,22.6
012414874000,2014,22.6
012414874000,2015,22.6
012414874000,2016,22.6
012414874000,2017,22.6
012414874000,2018,22.6
012414874000,2019,22.6
012414874000,2020,22.6
012414876000,2004,17.6
012414876000,2005,17.6
012414876000,2006,17.6
012414876000,2007,17.6
012414876000,2008,17.6
012414876000,2009,17.6
012414876000,2010,14.3
012414876000,2011,14.3
012414876000,2012,14.3
012414876000,2013,14.3
012414876000,2014,14.3
012414876000,2015,14.3
012414876000,2016,14.3
012414876000,2017,14.3
012414876000,2018,14.3
012414876000,2019,14.3
012414876000,2020,14.3
012414911000,2004,35.1
012414911000,2005,60.6
012414911000,2006,67.1
012414911000,2007,67.1
012414911000,2008,66.6
012414911000,2009,66.6
012414911000,2010,66.1
012414911000,2011,66.6
012414911000,2012,66.6
012414911000,2013,66.6
012414911000,2014,66.6
012414911000,2015,66.6
012414911000,2016,66.6
012414911000,2017,66.6
012414911000,2018,66.6
012414911000,2019,66.6
012414911000,2020,66.62
012414912000,2004,13.2
012414912000,2005,13.2
012414912000,2006,13.2
012414912000,2007,13.2
012414912000,2008,13.2
012414912000,2009,13.2
012414912000,2010,13.2
012414912000,2011,13.2
012414912000,2012,13.4
012414912000,2013,13.4
012414912000,2014,13.4
012414912000,2015,13.4
012414912000,2016,13.4
012414912000,2017,13.4
012414912000,2018,13.4
012414912000,2019,13.4
012414912000,2020,13.4
012414915000,2004,15.2
012414915000,2005,15.2
012414915000,2006,15.2
012414915000,2007,15.2
012414915000,2008,15.5
012414915000,2009,15.5
012414915000,2010,15.5
012414915000,2011,15.5
012414915000,2012,15.5
012414915000,2013,15.5
012414915000,2014,15.5
012414915000,2015,15.5
012414915000,2016,15.5
012414915000,2017,15.5
012414915000,2018,15.5
012414915000,2019,15.5
012414915000,2020,15.5
012414967000,2004,69.9
012414967000,2005,69.9
012414967000,2006,69.9
012414967000,2007,69.9
012414967000,2008,69.9
012414967000,2009,69.9
012414967000,2010,69.9
012414967000,2011,69.9
012414967000,2012,107.0
012414967000,2013,107.0
012414967000,2014,107.0
012414967000,2015,147.6
012414967000,2016,147.6
012414967000,2017,147.6
012414967000,2018,147.6
012414967000,2019,147.6
012414967000,2020,226.37
012414973000,2004,40.8
012414973000,2005,40.8
012414973000,2006,40.8
012414973000,2007,48.0
012414973000,2008,48.0
012414973000,2009,48.0
012414973000,2010,48.0
012414973000,2011,51.7
012414973000,2012,51.7
012414973000,2013,51.7
012414973000,2014,51.7
012414973000,2015,51.7
012414973000,2016,70.59
012414973000,2017,70.59
012414973000,2018,70.59
012414973000,2019,104.89
012414973000,2020,105.95
012414979000,2004,72.0
012414979000,2005,72.0
012414979000,2006,74.0
012414979000,2007,78.7
012414979000,2008,78.7
012414979000,2009,78.7
012414979000,2010,78.7
012414979000,2011,89.3
012414979000,2012,89.3
012414979000,2013,89.3
012414979000,2014,89.3
012414979000,2015,89.3
012414979000,2016,89.3
012414979000,2017,89.3
012414979000,2018,89.3
012414979000,2019,89.3
012414979000,2020,89.3
012415001000,2004,92.7
012415001000,2005,92.8
012415001000,2006,92.8
012415001000,2007,92.8
012415001000,2008,92.8
012415001000,2009,92.8
012415001000,2010,92.8
012415001000,2011,92.8
012415001000,2012,92.8
012415001000,2013,92.8
012415001000,2014,92.8
012415001000,2015,103.0
012415001000,2016,103.0
012415001000,2017,103.0
012415001000,2018,102.8
012415001000,2019,103.3
012415001000,2020,103.3
012415016000,2004,11.1
012415016000,2005,11.1
012415016000,2006,10.1
012415016000,2007,10.1
012415016000,2008,10.1
012415016000,2009,10.1
012415016000,2010,13.9
012415016000,2011,23.0
012415016000,2012,17.2
012415016000,2013,17.2
012415016000,2014,17.2
012415016000,2015,17.2
012415016000,2016,17.2
012415016000,2017,17.2
012415016000,2018,18.84
012415016000,2019,19.47
012415016000,2020,18.47
012415065000,2004,69.6
012415065000,2005,69.6
012415065000,2006,69.6
012415065000,2007,69.6
012415065000,2008,69.6
012415065000,2009,69.6
012415065000,2010,69.6
012415065000,2011,69.6
012415065000,2012,69.6
012415065000,2013,69.6
012415065000,2014,69.55
012415065000,2015,69.55
012415065000,2016,69.55
012415065000,2017,69.55
012415065000,2018,69.55
012415065000,2019,69.55
012415065000,2020,69.55
012415068000,2004,20.4
012415068000,2005,20.7
012415068000,2006,21.0
012415068000,2007,21.0
012415068000,2008,21.0
012415068000,2009,35.1
012415068000,2010,41.1
012415068000,2011,33.2
012415068000,2012,33.2
012415068000,2013,50.0
012415068000,2014,72.0
012415068000,2015,72.0
012415068000,2016,72.0
012415068000,2017,72.0
012415068000,2018,75.3
012415068000,2019,75.3
012415068000,2020,88.2
012415075000,2004,153.2
012415075000,2005,153.2
012415075000,2006,153.2
012415075000,2007,168.7
012415075000,2008,222.4
012415075000,2009,222.4
012415075000,2010,222.4
012415075000,2011,222.4
012415075000,2012,222.4
012415075000,2013,234.7
012415075000,2014,234.7
012415075000,2015,246.6
012415075000,2016,271.85
012415075000,2017,271.85
012415075000,2018,271.85
012415075000,2019,271.85
012415075000,2020,271.85
012415108000,2004,40.9
012415108000,2005,40.1
012415108000,2006,40.1
012415108000,2007,40.1
012415108000,2008,40.1
012415108000,2009,40.1
012415108000,2010,40.0
012415108000,2011,40.0
012415108000,2012,40.0
012415108000,2013,40.0
012415108000,2014,40.0
012415108000,2015,40.0
012415108000,2016,40.0
012415108000,2017,39.85
012415108000,2018,39.85
012415108000,2019,39.85
012415108000,2020,40.75
012415110000,2004,12.1
012415110000,2005,12.1
012415110000,2006,12.1
012415110000,2007,12.1
012415110000,2008,12.1
012415110000,2009,12.1
012415110000,2010,12.1
012415110000,2011,12.1
012415110000,2012,13.3
012415110000,2013,13.3
012415110000,2014,13.32
012415110000,2015,13.32
012415110000,2016,13.52
012415110000,2017,13.82
012415110000,2018,14.02
012415110000,2019,14.02
012415110000,2020,15.52
012415114000,2004,46.4
012415114000,2005,46.4
012415114000,2006,46.4
012415114000,2007,46.4
012415114000,2008,46.4
012415114000,2009,46.4
012415114000,2010,46.4
012415114000,2011,46.4
012415114000,2012,46.4
012415114000,2013,46.4
012415114000,2014,46.4
012415114000,2015,46.4
012415114000,2016,46.4
012415114000,2017,46.4
012415114000,2018,46.4
012415114000,2019,46.4
012415114000,2020,46.4
012415177000,2004,168.0
012415177000,2005,168.0
012415177000,2006,168.0
012415177000,2007,168.0
012415177000,2008,168.0
012415177000,2009,176.9
012415177000,2010,181.7
012415177000,2011,189.0
012415177000,2012,189.0
012415177000,2013,189.15
012415177000,2014,189.0
012415177000,2015,190.0
012415177000,2016,190.0
012415177000,2017,171.97
012415177000,2018,171.97
012415177000,2019,171.97
012415177000,2020,223.94
020811301000,2004,61.0
020811301000,2005,65.8
020811301000,2006,66.0
020811301000,2007,67.1
020811301000,2008,67.3
020811301000,2009,67.3
020811301000,2010,67.5
020811301000,2011,67.5
020811301000,2012,67.5
020811301000,2013,67.5
020811301000,2014,79.91
020811301000,2015,79.91
020811301000,2016,81.11
020811301000,2017,81.11
020811301000,2018,81.11
020811301000,2019,81.11
020811301000,2020,81.11
020811303000,2004,10.1
020811303000,2005,10.1
020811303000,2006,10.9
020811303000,2007,11.4
020811303000,2008,11.4
020811303000,2009,11.4
020811303000,2010,11.4
020811303000,2011,11.4
020811303000,2012,11.4
020811303000,2013,11.4
020811303000,2014,11.4
020811303000,2015,11.4
020811303000,2016,11.4
020811303000,2017,11.4
020811303000,2018,11.4
020811303000,2019,11.4
020811303000,2020,11.4
020811305000,2004,13.8
020811305000,2005,13.8
020811305000,2006,13.8
020811305000,2007,13.8
020811305000,2008,14.2
020811305000,2009,14.2
020811305000,2010,14.2
020811305000,2011,14.2
020811305000,2012,14.2
020811305000,2013,14.2
020811305000,2014,14.2
020811305000,2015,14.2
020811305000,2016,14.2
020811305000,2017,14.2
020811305000,2018,14.2
020811305000,2019,14.33
020811305000,2020,14.33
020811306000,2004,4.5
020811306000,2005,4.5
020811306000,2006,4.5
020811306000,2007,4.5
020811306000,2008,4.5
020811306000,2009,4.5
020811306000,2010,3.1
020811306000,2011,3.1
020811306000,2012,3.1
020811306000,2013,3.1
020811306000,2014,3.1
020811306000,2015,3.1
020811306000,2016,3.1
020811306000,2017,3.1
020811306000,2018,3.1
020811306000,2019,3.1
020811306000,2020,3.1
020811307000,2004,3.5
020811307000,2005,3.5
020811307000,2006,8.6
020811307000,2007,8.6
020811307000,2008,3.5
020811307000,2009,3.5
020811307000,2010,3.5
020811307000,2011,3.5
020811307000,2012,3.5
020811307000,2013,3.5
020811307000,2014,3.5
020811307000,2015,3.5
020811307000,2016,3.5
020811307000,2017,3.5
020811307000,2018,3.5
020811307000,2019,3.5
020811307000,2020,3.5
020811361000,2004,44.7
020811361000,2005,44.7
020811361000,2006,44.7
020811361000,2007,44.7
020811361000,2008,46.5
020811361000,2009,46.5
020811361000,2010,46.5
020811361000,2011,46.1
020811361000,2012,44.7
020811361000,2013,44.7
020811361000,2014,73.94
020811361000,2015,73.94
020811361000,2016,73.94
020811361000,2017,73.94
020811361000,2018,73.94
020811361000,2019,73.94
020811361000,2020,73.94
020811402000,2004,7.9
020811402000,2005,7.9
020811402000,2006,7.9
020811402000,2007,7.9
020811402000,2008,1.0
020811402000,2009,7.9
020811402000,2010,7.9
020811402000,2011,7.9
020811402000,2012,7.9
020811402000,2013,7.9
020811402000,2014,7.9
020811402000,2015,7.9
020811402000,2016,7.9
020811402000,2017,7.9
020811402000,2018,7.9
020811402000,2019,7.9
020811402000,2020,7.9
020811404000,2004,1.4
020811404000,2005,1.4
020811404000,2006,1.4
020811404000,2007,1.4
020811404000,2008,1.4
020811404000,2009,1.4
020811404000,2010,1.4
020811404000,2011,1.4
020811404000,2012,1.4
020811404000,2013,1.4
020811404000,2014,1.4
020811404000,2015,1.4
020811404000,2016,1.4
020811404000,2017,1.4
020811404000,2018,1.4
020811404000,2019,1.4
020811404000,2020,1.4
020811408000,2004,6.0
020811408000,2005,6.0
020811408000,2006,6.0
020811408000,2007,6.4
020811408000,2008,6.4
020811408000,2009,6.4
020811408000,2010,6.4
020811408000,2011,6.4
020811408000,2012,6.4
020811408000,2013,6.4
020811408000,2014,6.4
020811408000,2015,6.4
020811408000,2016,6.4
020811408000,2017,6.4
020811408000,2018,6.4
020811408000,2019,6.4
020811408000,2020,6.4
020811409000,2004,14.2
020811409000,2005,14.6
020811409000,2006,15.0
020811409000,2007,15.0
020811409000,2008,13.6
020811409000,2009,14.9
020811409000,2010,15.5
020811409000,2011,15.5
020811409000,2012,15.5
020811409000,2013,15.5
020811409000,2014,15.5
020811409000,2015,15.5
020811409000,2016,15.5
020811409000,2017,15.5
020811409000,2018,15.5
020811409000,2019,15.5
020811409000,2020,15.5
