ID_powiatu,year,p2497-przeciętne-miesięczne-wynagrodzenia-brutto-w-relacji-do-średniej-krajowej-polska100
012414664000,2016,87.3
012414664000,2017,87.3
012414664000,2018,87.3
012414664000,2019,87.8
012414664000,2020,88.3
012414705000,2002,82.8
012414705000,2003,82.6
012414705000,2004,82.4
012414705000,2005,83.4
012414705000,2006,84.0
012414705000,2007,82.7
012414705000,2008,84.3
012414705000,2009,82.5
012414705000,2010,80.9
012414705000,2011,79.4
012414705000,2012,81.8
012414705000,2013,81.3
012414705000,2014,81.2
012414705000,2015,82.4
012414705000,2016,83.1
012414705000,2017,84.2
012414705000,2018,85.9
012414705000,2019,85.5
012414705000,2020,85.0
012414766000,2002,116.6
012414766000,2003,105.3
012414766000,2004,107.0
012414766000,2005,109.3
012414766000,2006,109.2
012414766000,2007,109.8
012414766000,2008,110.7
012414766000,2009,110.2
012414766000,2010,110.3
012414766000,2011,110.9
012414766000,2012,110.5
012414766000,2013,111.7
012414766000,2014,112.0
012414766000,2015,113.9
012414766000,2016,112.6
012414766000,2017,113.0
012414766000,2018,112.8
012414766000,2019,113.7
012414766000,2020,111.6
012414778000,2002,92.9
012414778000,2003,97.9
012414778000,2004,97.2
012414778000,2005,97.7
012414778000,2006,97.4
012414778000,2007,97.8
012414778000,2008,98.0
012414778000,2009,97.5
012414778000,2010,98.1
012414778000,2011,98.5
012414778000,2012,98.1
012414778000,2013,94.7
012414778000,2014,95.8
012414778000,2015,95.3
012414778000,2016,93.9
012414778000,2017,92.8
012414778000,2018,92.9
012414778000,2019,96.1
012414778000,2020,94.7
012414863000,2002,84.7
012414863000,2003,86.6
012414863000,2004,85.6
012414863000,2005,84.7
012414863000,2006,84.7
012414863000,2007,87.0
012414863000,2008,89.8
012414863000,2009,87.6
012414863000,2010,88.6
012414863000,2011,89.3
012414863000,2012,90.4
012414863000,2013,91.3
012414863000,2014,90.9
012414863000,2015,90.4
012414863000,2016,91.0
012414863000,2017,90.3
012414863000,2018,89.2
012414863000,2019,89.9
012414863000,2020,88.9
012414869000,2002,120.9
012414869000,2003,131.1
012414869000,2004,135.8
012414869000,2005,135.4
012414869000,2006,133.6
012414869000,2007,130.1
012414869000,2008,131.4
012414869000,2009,135.6
012414869000,2010,132.9
012414869000,2011,138.3
012414869000,2012,132.6
012414869000,2013,135.9
012414869000,2014,129.9
012414869000,2015,126.8
012414869000,2016,122.9
012414869000,2017,116.8
012414869000,2018,117.9
012414869000,2019,119.2
012414869000,2020,118.2
012414870000,2002,80.3
012414870000,2003,80.4
012414870000,2004,81.0
012414870000,2005,83.4
012414870000,2006,84.6
012414870000,2007,84.6
012414870000,2008,85.0
