ID_powiatu,year,p2759-turyści-zagraniczni-nierezydenci-pozostałe-kraje
012414870000,2013,20
012414870000,2014,30
012414870000,2015,3
012414870000,2016,0
012414870000,2017,0
012414870000,2018,0
012414870000,2019,0
012414870000,2020,0
012414872000,2005,10
012414872000,2006,11
012414872000,2007,73
012414872000,2008,119
012414872000,2009,140
012414872000,2010,21
012414872000,2011,6
012414872000,2012,3
012414872000,2013,4
012414872000,2014,4
012414872000,2015,2
012414872000,2016,186
012414872000,2017,860
012414872000,2018,790
012414872000,2019,862
012414872000,2020,506
012414874000,2005,27
012414874000,2006,6
012414874000,2007,22
012414874000,2008,42
012414874000,2009,7
012414874000,2010,32
012414874000,2011,54
012414874000,2012,39
012414874000,2013,53
012414874000,2014,47
012414874000,2015,113
012414874000,2016,148
012414874000,2017,283
012414874000,2018,473
012414874000,2019,1087
012414874000,2020,37
012414876000,2005,0
012414876000,2006,0
012414876000,2007,0
012414876000,2008,0
012414876000,2009,0
012414876000,2010,0
012414876000,2011,0
012414876000,2012,0
012414876000,2013,0
012414876000,2014,0
012414876000,2015,0
012414876000,2016,0
012414876000,2017,0
012414876000,2018,0
012414876000,2019,0
012414876000,2020,0
012414911000,2005,322
012414911000,2006,183
012414911000,2007,181
012414911000,2008,265
012414911000,2009,291
012414911000,2010,315
012414911000,2011,310
012414911000,2012,314
012414911000,2013,213
012414911000,2014,160
012414911000,2015,170
012414911000,2016,137
012414911000,2017,111
012414911000,2018,90
012414911000,2019,125
012414911000,2020,71
012414912000,2005,0
012414912000,2006,0
012414912000,2007,0
012414912000,2008,0
012414912000,2009,0
012414912000,2010,0
012414912000,2011,0
012414912000,2012,0
012414912000,2013,0
012414912000,2014,1
012414912000,2015,3
012414912000,2016,8
012414912000,2017,2
012414912000,2018,7
012414912000,2019,7
012414912000,2020,0
012414915000,2005,57
012414915000,2006,82
012414915000,2007,77
012414915000,2008,73
012414915000,2009,89
012414915000,2010,101
012414915000,2011,125
012414915000,2012,126
012414915000,2013,196
012414915000,2014,85
012414915000,2015,129
012414915000,2016,123
012414915000,2017,166
012414915000,2018,300
012414915000,2019,271
012414915000,2020,116
012414967000,2005,189
012414967000,2006,12
012414967000,2007,29
012414967000,2008,12
012414967000,2009,42
012414967000,2010,52
012414967000,2011,32
012414967000,2012,16
012414967000,2013,28
012414967000,2014,26
012414967000,2015,16
012414967000,2016,17
012414967000,2017,88
012414967000,2018,121
012414967000,2019,133
012414967000,2020,20
012414973000,2005,155
012414973000,2006,266
012414973000,2007,448
012414973000,2008,299
012414973000,2009,207
012414973000,2010,401
012414973000,2011,315
012414973000,2012,472
012414973000,2013,300
012414973000,2014,396
012414973000,2015,542
012414973000,2016,383
012414973000,2017,334
012414973000,2018,355
012414973000,2019,504
012414973000,2020,90
012414979000,2005,83
012414979000,2006,74
012414979000,2007,80
012414979000,2008,164
012414979000,2009,42
012414979000,2010,119
012414979000,2011,135
012414979000,2012,260
012414979000,2013,201
012414979000,2014,161
012414979000,2015,164
012414979000,2016,222
012414979000,2017,218
012414979000,2018,316
012414979000,2019,441
012414979000,2020,184
012415001000,2005,270
012415001000,2006,151
012415001000,2007,201
012415001000,2008,270
012415001000,2009,537
012415001000,2010,461
012415001000,2011,654
012415001000,2012,827
012415001000,2013,891
012415001000,2014,1335
012415001000,2015,1906
012415001000,2016,2517
012415001000,2017,2868
012415001000,2018,3525
012415001000,2019,3826
012415001000,2020,322
012415016000,2005,136
012415016000,2006,137
012415016000,2007,145
012415016000,2008,208
012415016000,2009,142
012415016000,2010,266
